39758
ID_1	146.000000	18.000000	0.005116	0.003592	-3.888944	-3.434910
ID_2	170.000000	28.000000	0.004726	0.003154	-3.462371	-3.204689
ID_3	178.000000	26.000000	0.004672	0.003208	-3.415957	-3.103436
ID_4	181.000000	26.000000	0.004645	0.003144	-3.346588	-3.086210
ID_5	189.000000	29.000000	0.004788	0.002692	-3.160748	-3.379185
ID_6	204.000000	18.000000	0.004746	0.002775	-3.157448	-3.293567
ID_7	200.000000	22.000000	0.005044	0.002826	-3.182480	-3.477762
ID_8	197.000000	25.000000	0.005131	0.002852	-3.270026	-3.573507
ID_9	212.000000	18.000000	0.005045	0.003004	-3.237933	-3.387722
ID_10	221.000000	18.000000	0.004727	0.002766	-3.126766	-3.267682
ID_11	214.000000	22.000000	0.004769	0.002833	-3.099082	-3.231120
ID_12	210.000000	29.000000	0.004786	0.002968	-3.228847	-3.230094
ID_13	216.000000	29.000000	0.004569	0.002732	-3.066388	-3.144384
ID_14	221.000000	29.000000	0.004497	0.002583	-2.984051	-3.147241
ID_15	230.000000	26.000000	0.004725	0.002487	-2.859461	-3.292620
ID_16	250.000000	19.000000	0.004838	0.002416	-2.791733	-3.377777
ID_17	263.000000	19.000000	0.004762	0.002767	-3.089525	-3.266367
ID_18	269.000000	19.000000	0.004664	0.002889	-3.154249	-3.152475
ID_19	258.000000	20.000000	0.004781	0.002514	-2.877479	-3.323758
ID_20	269.000000	22.000000	0.004740	0.002835	-3.104795	-3.211205
ID_21	263.000000	23.000000	0.004738	0.002639	-2.964217	-3.260561
ID_22	258.000000	24.000000	0.004708	0.002499	-2.849115	-3.265508
ID_23	263.000000	27.000000	0.004693	0.002612	-2.877677	-3.191090
ID_24	279.000000	18.000000	0.004715	0.002570	-2.910095	-3.259796
ID_25	284.000000	20.000000	0.004863	0.002431	-2.641372	-3.278277
ID_26	278.000000	22.000000	0.004686	0.002413	-2.771333	-3.261827
ID_27	281.000000	27.000000	0.004671	0.002404	-2.740001	-3.236468
ID_28	292.000000	18.000000	0.004728	0.002278	-2.789417	-3.405712
ID_29	298.000000	18.000000	0.004555	0.002312	-2.790841	-3.264589
ID_30	291.000000	26.000000	0.004408	0.002420	-2.824145	-3.104412
ID_31	301.000000	26.000000	0.004533	0.002327	-2.726167	-3.191671
ID_32	295.000000	27.000000	0.004461	0.002287	-2.798814	-3.223288
